Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
Indian Institute of Technology (BHU) Varanasi,"Architecture (5 Years, Bachelor of Architecture)",26,0,26,26,0,26,0
Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering (4 Years, Bachelor of Technology)",0,0,0,25,0,25,25
Indian Institute of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",25,0,25,0,0,0,-25
Indian Institute of Technology (BHU) Varanasi,"Bioengineering (4 Years, Bachelor of Technology)",0,0,0,21,0,21,21
Indian Institute of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",20,1,21,0,0,0,-21
Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",75,0,75,75,0,75,0
Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",18,2,20,0,0,0,-20
Indian Institute of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",156,0,156,170,0,170,14
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",110,10,120,150,10,160,40
Indian Institute of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,2,30,0,0,0,-30
Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",89,10,99,145,10,155,56
Indian Institute of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,3,34,0,0,0,-34
Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",108,7,115,143,7,150,35
Indian Institute of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",29,1,30,0,0,0,-30
Indian Institute of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",123,10,133,145,10,155,22
Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (4 Years, Bachelor of Technology)",0,0,0,40,0,40,40
Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",27,1,28,0,0,0,-28
Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (4 Years, Bachelor of Technology)",0,0,0,24,0,24,24
Indian Institute of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",21,0,21,0,0,0,-21
Indian Institute of Technology (BHU) Varanasi,"Materials Science and Technology (4 Years, Bachelor of Technology)",0,0,0,28,0,28,28
Indian Institute of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",28,0,28,0,0,0,-28
Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (4 Years, Bachelor of Technology)",0,0,0,65,0,65,65
Indian Institute of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",52,0,52,0,0,0,-52
Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",136,12,148,178,12,190,42
Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",30,2,32,0,0,0,-32
Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",102,4,106,106,4,110,4
Indian Institute of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",27,1,28,0,0,0,-28
Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (4 Years, Bachelor of Technology)",123,8,131,112,8,120,-11
Indian Institute of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,2,30,0,0,0,-30
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",80,0,80,75,0,75,-5
Indian Institute of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",21,0,21,0,0,0,-21
Indian Institute of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",19,2,21,19,2,21,0
Indian Institute of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",19,2,21,19,2,21,0
Indian Institute of Technology (ISM) Dhanbad,"B.Tech Mining Engineering and MBA in Logistic and Supply Chain Management (IIM Mumbai) (5 Years, Integrated B. Tech. and MBA)",0,0,0,60,0,60,60
Indian Institute of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",49,6,55,49,6,55,0
Indian Institute of Technology (ISM) Dhanbad,"Chemical Science (5 Years, Integrated Bachelor of Science-Master of Science)",0,0,0,26,0,26,26
Indian Institute of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",61,8,69,61,8,69,0
Indian Institute of Technology (ISM) Dhanbad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",124,15,139,124,15,139,0
Indian Institute of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",114,9,123,114,9,123,0
Indian Institute of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",116,8,124,116,8,124,0
Indian Institute of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",29,2,31,29,2,31,0
Indian Institute of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",47,1,48,47,1,48,0
Indian Institute of Technology (ISM) Dhanbad,"Mathematics and Computing (4 Years, Bachelor of Technology)",55,0,55,55,0,55,0
Indian Institute of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",111,20,131,111,20,131,0
Indian Institute of Technology (ISM) Dhanbad,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",37,8,45,37,8,45,0
Indian Institute of Technology (ISM) Dhanbad,"Mining Engineering (4 Years, Bachelor of Technology)",103,14,117,90,0,90,-27
Indian Institute of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",47,9,56,47,9,56,0
Indian Institute of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",79,11,90,79,11,90,0
Indian Institute of Technology (ISM) Dhanbad,"Physical Science (5 Years, Integrated Bachelor of Science-Master of Science)",0,0,0,26,0,26,26
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",50,5,55,56,5,61,6
Indian Institute of Technology Bhilai,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40,0,40,44,0,44,4
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",50,0,50,56,4,60,10
Indian Institute of Technology Bhilai,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",40,0,40,44,0,44,4
Indian Institute of Technology Bhilai,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",20,0,20,30,0,30,10
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",50,4,54,56,4,60,6
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",20,0,20,30,0,30,10
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",110,0,110,105,0,105,-5
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",82,0,82,82,0,82,0
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",81,0,81,75,0,75,-6
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",54,0,54,54,0,54,0
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",20,0,20,20,0,20,0
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",0,0,0,20,0,20,20
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",109,0,109,105,0,105,-4
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",40,0,40,35,0,35,-5
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",71,10,81,66,6,72,-9
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",0,0,0,25,3,28,28
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",18,0,18,18,0,18,0
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",123,10,133,113,11,124,-9
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",35,0,35,35,0,35,0
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",130,20,150,130,16,146,-4
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",170,29,199,170,28,198,-1
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",40,0,40,40,0,40,0
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",90,23,113,90,22,112,-1
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",80,10,90,80,9,89,-1
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",41,7,48,41,6,47,-1
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",52,6,58,52,6,58,0
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",37,9,46,37,9,46,0
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",36,4,40,36,4,40,0
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",169,35,204,169,33,202,-2
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",112,11,123,102,3,105,-18
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",0,0,0,10,0,10,10
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,10,0,10,10
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",0,0,0,10,0,10,10
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",72,0,72,60,0,60,-12
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",75,0,75,75,0,75,0
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",44,2,46,46,0,46,0
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",0,0,0,40,0,40,40
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",108,2,110,110,0,110,0
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",93,6,99,99,0,99,0
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",33,4,37,37,0,37,0
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",0,0,0,20,0,20,20
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",110,10,120,110,0,110,-10
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",61,4,65,54,0,54,-11
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",40,0,40,40,0,40,0
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",63,0,63,63,0,63,0
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",40,0,40,40,0,40,0
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",40,0,40,40,0,40,0
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",86,3,89,89,0,89,0
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",30,3,33,33,0,33,0
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",85,10,95,85,0,85,-10
